,attributes,credits,crn,levels,meeting_days,meeting_instructors,meeting_place,meeting_sched_type,meeting_time,meeting_type,number,section,subject,title
9247,M Professional Electives|GTC-Science|Tech & Society|UC-Science|Tech & Society|Upper Division,1.000,13657,Graduate|Professional|Undergraduate,W,Timothy Carl Strueh,Neil Armstrong Hall of Engr 1098C,Laboratory,8:30 am - 10:20 am,Class,EPCS 40100,049,EPCS,Senior Participation In EPICS
9248,M Professional Electives|GTC-Science|Tech & Society|UC-Science|Tech & Society|Upper Division,1.000,13718,Graduate|Professional|Undergraduate,W,Edward John Delp,Neil Armstrong Hall of Engr 1098B,Laboratory,10:30 am - 12:20 pm,Class,EPCS 40100,051,EPCS,Senior Participation In EPICS
9249,M Professional Electives|GTC-Science|Tech & Society|UC-Science|Tech & Society|Upper Division,1.000,14633,Graduate|Professional|Undergraduate,F,William Charles Oakes|Brandon Michael Fulk,Neil Armstrong Hall of Engr 1098C,Laboratory,3:30 pm - 5:20 pm,Class,EPCS 40100,053,EPCS,Senior Participation In EPICS
9250,M Professional Electives|GTC-Science|Tech & Society|UC-Science|Tech & Society|Upper Division,1.000,14725,Graduate|Professional|Undergraduate,R,Nusaybah A Abu-Mulaweh,Neil Armstrong Hall of Engr 1098C,Laboratory,3:30 pm - 5:20 pm,Class,EPCS 40100,057,EPCS,Senior Participation In EPICS
9251,M Professional Electives|GTC-Science|Tech & Society|UC-Science|Tech & Society|Upper Division,1.000,14838,Graduate|Professional|Undergraduate,F,Nusaybah A Abu-Mulaweh,Neil Armstrong Hall of Engr 1098C,Laboratory,8:30 am - 10:20 am,Class,EPCS 40100,061,EPCS,Senior Participation In EPICS
9252,M Professional Electives|GTC-Science|Tech & Society|UC-Science|Tech & Society|Upper Division,1.000,14857,Graduate|Professional|Undergraduate,F,Bret Jarett Madsen,Neil Armstrong Hall of Engr 1098B,Laboratory,10:30 am - 12:20 pm,Class,EPCS 40100,062,EPCS,Senior Participation In EPICS
9253,M Professional Electives|GTC-Science|Tech & Society|UC-Science|Tech & Society|Upper Division,1.000,14870,Graduate|Professional|Undergraduate,F,Nusaybah A Abu-Mulaweh|Leah H Jamieson,Neil Armstrong Hall of Engr 1101,Laboratory,1:30 pm - 3:20 pm,Class,EPCS 40100,063,EPCS,Senior Participation In EPICS
9254,M Professional Electives|GTC-Science|Tech & Society|UC-Science|Tech & Society|Upper Division,1.000,14881,Graduate|Professional|Undergraduate,T,Andres Arrieta Diaz|Timothy Carl Strueh,Neil Armstrong Hall of Engr 1101,Laboratory,3:30 pm - 5:20 pm,Class,EPCS 40100,064,EPCS,Senior Participation In EPICS
9255,M Professional Electives|GTC-Science|Tech & Society|UC-Science|Tech & Society|Upper Division,1.000,14894,Graduate|Professional|Undergraduate,F,Brandon E Boor,Neil Armstrong Hall of Engr 1098C,Laboratory,10:30 am - 12:20 pm,Class,EPCS 40100,065,EPCS,Senior Participation In EPICS
9256,M Professional Electives|GTC-Science|Tech & Society|UC-Science|Tech & Society|Upper Division,1.000,20703,Graduate|Professional|Undergraduate,R,Andrew Lee Pierce,Neil Armstrong Hall of Engr 1098C,Laboratory,1:30 pm - 3:20 pm,Class,EPCS 40100,066,EPCS,Senior Participation In EPICS
9257,M Professional Electives|GTC-Science|Tech & Society|UC-Science|Tech & Society|Upper Division,1.000,19169,Graduate|Professional|Undergraduate,W,Jorge L Martinez,Neil Armstrong Hall of Engr 1098B,Laboratory,8:30 am - 10:20 am,Class,EPCS 40100,067,EPCS,Senior Participation In EPICS
9258,M Professional Electives|GTC-Science|Tech & Society|UC-Science|Tech & Society|Upper Division,1.000,21685,Graduate|Professional|Undergraduate,F,Andrew Lee Pierce|Heather P Fabries,Neil Armstrong Hall of Engr 1098C,Laboratory,1:30 pm - 3:20 pm,Class,EPCS 40100,068,EPCS,Senior Participation In EPICS
9259,M Professional Electives|GTC-Science|Tech & Society|UC-Science|Tech & Society|Upper Division,1.000,22443,Graduate|Professional|Undergraduate,R,Tamara Jo Benjamin|Amin Maghareh,Neil Armstrong Hall of Engr 1101,Laboratory,10:30 am - 12:20 pm,Class,EPCS 40100,069,EPCS,Senior Participation In EPICS
9260,M Professional Electives|GTC-Science|Tech & Society|UC-Science|Tech & Society|Upper Division,1.000,23040,Graduate|Professional|Undergraduate,T,Jorge L Martinez,Neil Armstrong Hall of Engr 1098B,Laboratory,3:30 pm - 5:20 pm,Class,EPCS 40100,070,EPCS,Senior Participation In EPICS
9261,M Professional Electives|GTC-Science|Tech & Society|UC-Science|Tech & Society|Upper Division,1.000,23147,Graduate|Professional|Undergraduate,W,Brandon Michael Fulk,Grissom Hall 102,Laboratory,10:30 am - 12:20 pm,Class,EPCS 40100,071,EPCS,Senior Participation In EPICS
9262,M Professional Electives|GTC-Science|Tech & Society|UC-Science|Tech & Society|Upper Division,1.000,22328,Graduate|Professional|Undergraduate,W,Timothy Carl Strueh,Neil Armstrong Hall of Engr 1098B,Laboratory,3:30 pm - 5:20 pm,Class,EPCS 40100,072,EPCS,Senior Participation In EPICS
9263,M Professional Electives|GTC-Science|Tech & Society|UC-Science|Tech & Society|Upper Division,0.000,41919,Graduate|Professional|Undergraduate,,William Charles Oakes|Andrew Lee Pierce,,Lecture,,Class,EPCS 40200,001,EPCS,Senior Participation In EPICS
9264,M Professional Electives|GTC-Science|Tech & Society|UC-Science|Tech & Society|Upper Division,2.000,41938,Graduate|Professional|Undergraduate,T,Andrew Lee Pierce|Carla B Zoltowski,Neil Armstrong Hall of Engr 1098B,Laboratory,10:30 am - 12:20 pm,Class,EPCS 40200,003,EPCS,Senior Participation In EPICS
9265,M Professional Electives|GTC-Science|Tech & Society|UC-Science|Tech & Society|Upper Division,2.000,41856,Graduate|Professional|Undergraduate,T,Edward John Delp,Neil Armstrong Hall of Engr 1098C,Laboratory,10:30 am - 12:20 pm,Class,EPCS 40200,006,EPCS,Senior Participation In EPICS
9266,M Professional Electives|GTC-Science|Tech & Society|UC-Science|Tech & Society|Upper Division,2.000,41962,Graduate|Professional|Undergraduate,T,Jorge L Martinez,Neil Armstrong Hall of Engr 1098B,Laboratory,1:30 pm - 3:20 pm,Class,EPCS 40200,007,EPCS,Senior Participation In EPICS
9267,M Professional Electives|GTC-Science|Tech & Society|UC-Science|Tech & Society|Upper Division,2.000,41971,Graduate|Professional|Undergraduate,T,Nusaybah A Abu-Mulaweh,Neil Armstrong Hall of Engr 1098C,Laboratory,3:30 pm - 5:20 pm,Class,EPCS 40200,008,EPCS,Senior Participation In EPICS
9268,M Professional Electives|GTC-Science|Tech & Society|UC-Science|Tech & Society|Upper Division,2.000,41882,Graduate|Professional|Undergraduate,W,Nusaybah A Abu-Mulaweh,Neil Armstrong Hall of Engr 1098B,Laboratory,1:30 pm - 3:20 pm,Class,EPCS 40200,010,EPCS,Senior Participation In EPICS
9269,M Professional Electives|GTC-Science|Tech & Society|UC-Science|Tech & Society|Upper Division,2.000,41988,Graduate|Professional|Undergraduate,W,Susan Renee Bayley,Neil Armstrong Hall of Engr 1098C,Laboratory,1:30 pm - 3:20 pm,Class,EPCS 40200,011,EPCS,Senior Participation In EPICS
9270,M Professional Electives|GTC-Science|Tech & Society|UC-Science|Tech & Society|Upper Division,2.000,41997,Graduate|Professional|Undergraduate,W,Jeffery Lynn Gray|William Charles Oakes|Laura C Zanotti,Neil Armstrong Hall of Engr 1101,Laboratory,8:30 am - 10:20 am,Class,EPCS 40200,012,EPCS,Senior Participation In EPICS
9271,M Professional Electives|GTC-Science|Tech & Society|UC-Science|Tech & Society|Upper Division,2.000,42013,Graduate|Professional|Undergraduate,T,Margaret M Drummond|Charese M Williams,Neil Armstrong Hall of Engr 1101,Laboratory,1:30 pm - 3:20 pm,Class,EPCS 40200,015,EPCS,Senior Participation In EPICS
9272,M Professional Electives|GTC-Science|Tech & Society|UC-Science|Tech & Society|Upper Division,2.000,42022,Graduate|Professional|Undergraduate,W,Timothy Andrew Pritchett|Leah H Jamieson,Neil Armstrong Hall of Engr 1101,Laboratory,1:30 pm - 3:20 pm,Class,EPCS 40200,016,EPCS,Senior Participation In EPICS
9273,M Professional Electives|GTC-Science|Tech & Society|UC-Science|Tech & Society|Upper Division,2.000,41828,Graduate|Professional|Undergraduate,W,Asem F Aboelzahab|Hyowon Lee,Neil Armstrong Hall of Engr 1101,Laboratory,3:30 pm - 5:20 pm,Class,EPCS 40200,018,EPCS,Senior Participation In EPICS
9274,M Professional Electives|GTC-Science|Tech & Society|UC-Science|Tech & Society|Upper Division,2.000,42040,Graduate|Professional|Undergraduate,R,Michael Larry Mashtare|Laura C Bowling|Keith A Cherkauer,Neil Armstrong Hall of Engr 1098B,Laboratory,8:30 am - 10:20 am,Class,EPCS 40200,019,EPCS,Senior Participation In EPICS
9275,M Professional Electives|GTC-Science|Tech & Society|UC-Science|Tech & Society|Upper Division,2.000,42049,Graduate|Professional|Undergraduate,R,Andrzej Wylezinski,Neil Armstrong Hall of Engr 1101,Laboratory,8:30 am - 10:20 am,Class,EPCS 40200,020,EPCS,Senior Participation In EPICS
9276,M Professional Electives|GTC-Science|Tech & Society|UC-Science|Tech & Society|Upper Division,2.000,41741,Graduate|Professional|Undergraduate,W,Timothy Carl Strueh,Neil Armstrong Hall of Engr 1101,Laboratory,10:30 am - 12:20 pm,Class,EPCS 40200,021,EPCS,Senior Participation In EPICS
9277,M Professional Electives|GTC-Science|Tech & Society|UC-Science|Tech & Society|Upper Division,2.000,41750,Graduate|Professional|Undergraduate,R,Eric Andrew Holloway,Neil Armstrong Hall of Engr 1098B,Laboratory,1:30 pm - 3:20 pm,Class,EPCS 40200,022,EPCS,Senior Participation In EPICS
9278,M Professional Electives|GTC-Science|Tech & Society|UC-Science|Tech & Society|Upper Division,2.000,42064,Graduate|Professional|Undergraduate,R,Dulcy M Abraham|William Charles Oakes,Neil Armstrong Hall of Engr 1101,Laboratory,1:30 pm - 3:20 pm,Class,EPCS 40200,023,EPCS,Senior Participation In EPICS
9279,M Professional Electives|GTC-Science|Tech & Society|UC-Science|Tech & Society|Upper Division,2.000,42073,Graduate|Professional|Undergraduate,R,Timothy Carl Strueh|Pamela R Brown,Neil Armstrong Hall of Engr 1098B,Laboratory,3:30 pm - 5:20 pm,Class,EPCS 40200,024,EPCS,Senior Participation In EPICS
9280,M Professional Electives|GTC-Science|Tech & Society|UC-Science|Tech & Society|Upper Division,2.000,42090,Graduate|Professional|Undergraduate,R,Timothy Carl Strueh,Neil Armstrong Hall of Engr 1098C,Laboratory,10:30 am - 12:20 pm,Class,EPCS 40200,027,EPCS,Senior Participation In EPICS
9281,M Professional Electives|GTC-Science|Tech & Society|UC-Science|Tech & Society|Upper Division,2.000,42099,Graduate|Professional|Undergraduate,F,Andrew Lee Pierce,Neil Armstrong Hall of Engr 1101,Laboratory,3:30 pm - 5:20 pm,Class,EPCS 40200,028,EPCS,Senior Participation In EPICS
9282,M Professional Electives|GTC-Science|Tech & Society|UC-Science|Tech & Society|Upper Division,2.000,41793,Graduate|Professional|Undergraduate,R,Laura C Bowling|Keith A Cherkauer|Michael Larry Mashtare,Neil Armstrong Hall of Engr 1098C,Laboratory,8:30 am - 10:20 am,Class,EPCS 40200,029,EPCS,Senior Participation In EPICS
9283,M Professional Electives|GTC-Science|Tech & Society|UC-Science|Tech & Society|Upper Division,2.000,41802,Graduate|Professional|Undergraduate,W,Nusaybah A Abu-Mulaweh,Neil Armstrong Hall of Engr 1098C,Laboratory,3:30 pm - 5:20 pm,Class,EPCS 40200,030,EPCS,Senior Participation In EPICS
9284,M Professional Electives|GTC-Science|Tech & Society|UC-Science|Tech & Society|Upper Division,2.000,42116,Graduate|Professional|Undergraduate,F,Seyedali Ghahari|Jason Douglas Huycke|William Charles Oakes,Neil Armstrong Hall of Engr 1098B,Laboratory,1:30 pm - 3:20 pm,Class,EPCS 40200,031,EPCS,Senior Participation In EPICS
9285,M Professional Electives|GTC-Science|Tech & Society|UC-Science|Tech & Society|Upper Division,2.000,62688,Graduate|Professional|Undergraduate,F,William Charles Oakes|Heather P Fabries,Neil Armstrong Hall of Engr 1101,Laboratory,8:30 am - 10:20 am,Class,EPCS 40200,035,EPCS,Senior Participation In EPICS
9286,M Professional Electives|GTC-Science|Tech & Society|UC-Science|Tech & Society|Upper Division,2.000,65160,Graduate|Professional|Undergraduate,T,Timothy Carl Strueh,Neil Armstrong Hall of Engr 1098C,Laboratory,1:30 pm - 3:20 pm,Class,EPCS 40200,041,EPCS,Senior Participation In EPICS
9287,M Professional Electives|GTC-Science|Tech & Society|UC-Science|Tech & Society|Upper Division,2.000,69082,Graduate|Professional|Undergraduate,W,Hyowon Lee|Andrew Lee Pierce,Neil Armstrong Hall of Engr 1098C,Laboratory,10:30 am - 12:20 pm,Class,EPCS 40200,043,EPCS,Senior Participation In EPICS
9288,M Professional Electives|GTC-Science|Tech & Society|UC-Science|Tech & Society|Upper Division,2.000,69101,Graduate|Professional|Undergraduate,W,Susan Marie Khalifah|William Charles Oakes,Neil Armstrong Hall of Engr B098,Laboratory,6:00 pm - 7:50 pm,Class,EPCS 40200,045,EPCS,Senior Participation In EPICS
9289,M Professional Electives|GTC-Science|Tech & Society|UC-Science|Tech & Society|Upper Division,2.000,69127,Graduate|Professional|Undergraduate,F,Nusaybah A Abu-Mulaweh|Robin D Terwilliger,Neil Armstrong Hall of Engr 1101,Laboratory,10:30 am - 12:20 pm,Class,EPCS 40200,047,EPCS,Senior Participation In EPICS
9290,M Professional Electives|GTC-Science|Tech & Society|UC-Science|Tech & Society|Upper Division,2.000,13648,Graduate|Professional|Undergraduate,T,David Frederick Bahr|Jorge L Martinez|Kevin P Trumble,Neil Armstrong Hall of Engr 1101,Laboratory,10:30 am - 12:20 pm,Class,EPCS 40200,048,EPCS,Senior Participation In EPICS
9291,M Professional Electives|GTC-Science|Tech & Society|UC-Science|Tech & Society|Upper Division,2.000,13670,Graduate|Professional|Undergraduate,W,Timothy Carl Strueh,Neil Armstrong Hall of Engr 1098C,Laboratory,8:30 am - 10:20 am,Class,EPCS 40200,049,EPCS,Senior Participation In EPICS
9292,M Professional Electives|GTC-Science|Tech & Society|UC-Science|Tech & Society|Upper Division,2.000,13720,Graduate|Professional|Undergraduate,W,Edward John Delp,Neil Armstrong Hall of Engr 1098B,Laboratory,10:30 am - 12:20 pm,Class,EPCS 40200,051,EPCS,Senior Participation In EPICS
9293,M Professional Electives|GTC-Science|Tech & Society|UC-Science|Tech & Society|Upper Division,2.000,14634,Graduate|Professional|Undergraduate,F,William Charles Oakes|Brandon Michael Fulk,Neil Armstrong Hall of Engr 1098C,Laboratory,3:30 pm - 5:20 pm,Class,EPCS 40200,053,EPCS,Senior Participation In EPICS
9294,M Professional Electives|GTC-Science|Tech & Society|UC-Science|Tech & Society|Upper Division,2.000,14726,Graduate|Professional|Undergraduate,R,Nusaybah A Abu-Mulaweh,Neil Armstrong Hall of Engr 1098C,Laboratory,3:30 pm - 5:20 pm,Class,EPCS 40200,057,EPCS,Senior Participation In EPICS
9295,M Professional Electives|GTC-Science|Tech & Society|UC-Science|Tech & Society|Upper Division,2.000,14840,Graduate|Professional|Undergraduate,F,Nusaybah A Abu-Mulaweh,Neil Armstrong Hall of Engr 1098C,Laboratory,8:30 am - 10:20 am,Class,EPCS 40200,061,EPCS,Senior Participation In EPICS
9296,M Professional Electives|GTC-Science|Tech & Society|UC-Science|Tech & Society|Upper Division,2.000,14858,Graduate|Professional|Undergraduate,F,Bret Jarett Madsen,Neil Armstrong Hall of Engr 1098B,Laboratory,10:30 am - 12:20 pm,Class,EPCS 40200,062,EPCS,Senior Participation In EPICS
9297,M Professional Electives|GTC-Science|Tech & Society|UC-Science|Tech & Society|Upper Division,2.000,14871,Graduate|Professional|Undergraduate,F,Nusaybah A Abu-Mulaweh|Leah H Jamieson,Neil Armstrong Hall of Engr 1101,Laboratory,1:30 pm - 3:20 pm,Class,EPCS 40200,063,EPCS,Senior Participation In EPICS
9298,M Professional Electives|GTC-Science|Tech & Society|UC-Science|Tech & Society|Upper Division,2.000,14882,Graduate|Professional|Undergraduate,T,Andres Arrieta Diaz|Timothy Carl Strueh,Neil Armstrong Hall of Engr 1101,Laboratory,3:30 pm - 5:20 pm,Class,EPCS 40200,064,EPCS,Senior Participation In EPICS
9299,M Professional Electives|GTC-Science|Tech & Society|UC-Science|Tech & Society|Upper Division,2.000,14895,Graduate|Professional|Undergraduate,F,Brandon E Boor,Neil Armstrong Hall of Engr 1098C,Laboratory,10:30 am - 12:20 pm,Class,EPCS 40200,065,EPCS,Senior Participation In EPICS
9300,M Professional Electives|GTC-Science|Tech & Society|UC-Science|Tech & Society|Upper Division,2.000,20708,Graduate|Professional|Undergraduate,R,Andrew Lee Pierce,Neil Armstrong Hall of Engr 1098C,Laboratory,1:30 pm - 3:20 pm,Class,EPCS 40200,066,EPCS,Senior Participation In EPICS
9301,M Professional Electives|GTC-Science|Tech & Society|UC-Science|Tech & Society|Upper Division,2.000,19171,Graduate|Professional|Undergraduate,W,Jorge L Martinez,Neil Armstrong Hall of Engr 1098B,Laboratory,8:30 am - 10:20 am,Class,EPCS 40200,067,EPCS,Senior Participation In EPICS
9302,M Professional Electives|GTC-Science|Tech & Society|UC-Science|Tech & Society|Upper Division,2.000,21686,Graduate|Professional|Undergraduate,F,Andrew Lee Pierce|Heather P Fabries,Neil Armstrong Hall of Engr 1098C,Laboratory,1:30 pm - 3:20 pm,Class,EPCS 40200,068,EPCS,Senior Participation In EPICS
9303,M Professional Electives|GTC-Science|Tech & Society|UC-Science|Tech & Society|Upper Division,2.000,22444,Graduate|Professional|Undergraduate,R,Tamara Jo Benjamin|Amin Maghareh,Neil Armstrong Hall of Engr 1101,Laboratory,10:30 am - 12:20 pm,Class,EPCS 40200,069,EPCS,Senior Participation In EPICS
9304,M Professional Electives|GTC-Science|Tech & Society|UC-Science|Tech & Society|Upper Division,2.000,23041,Graduate|Professional|Undergraduate,T,Jorge L Martinez,Neil Armstrong Hall of Engr 1098B,Laboratory,3:30 pm - 5:20 pm,Class,EPCS 40200,070,EPCS,Senior Participation In EPICS
9305,M Professional Electives|GTC-Science|Tech & Society|UC-Science|Tech & Society|Upper Division,2.000,23148,Graduate|Professional|Undergraduate,W,Brandon Michael Fulk,Grissom Hall 102,Laboratory,10:30 am - 12:20 pm,Class,EPCS 40200,071,EPCS,Senior Participation In EPICS
9306,M Professional Electives|GTC-Science|Tech & Society|UC-Science|Tech & Society|Upper Division,2.000,22335,Graduate|Professional|Undergraduate,W,Timothy Carl Strueh,Neil Armstrong Hall of Engr 1098B,Laboratory,3:30 pm - 5:20 pm,Class,EPCS 40200,072,EPCS,Senior Participation In EPICS
9307,Honors|Upper Division,0.000,53286,Graduate|Professional|Undergraduate,,William Charles Oakes|Andrew Lee Pierce,,Lecture,,Class,EPCS 41100,001,EPCS,Senior Design Participation In EPICS
9308,Honors|Upper Division,1.000,53294,Graduate|Professional|Undergraduate,T,Andrew Lee Pierce|Carla B Zoltowski,Neil Armstrong Hall of Engr 1098B,Laboratory,10:30 am - 12:20 pm,Class,EPCS 41100,003,EPCS,Senior Design Participation In EPICS
9309,Honors|Upper Division,1.000,53275,Graduate|Professional|Undergraduate,T,Edward John Delp,Neil Armstrong Hall of Engr 1098C,Laboratory,10:30 am - 12:20 pm,Class,EPCS 41100,006,EPCS,Senior Design Participation In EPICS
9310,Honors|Upper Division,1.000,53276,Graduate|Professional|Undergraduate,T,Jorge L Martinez,Neil Armstrong Hall of Engr 1098B,Laboratory,1:30 pm - 3:20 pm,Class,EPCS 41100,007,EPCS,Senior Design Participation In EPICS
9311,Honors|Upper Division,1.000,53285,Graduate|Professional|Undergraduate,T,Nusaybah A Abu-Mulaweh,Neil Armstrong Hall of Engr 1098C,Laboratory,3:30 pm - 5:20 pm,Class,EPCS 41100,008,EPCS,Senior Design Participation In EPICS
9312,Honors|Upper Division,1.000,53295,Graduate|Professional|Undergraduate,W,Nusaybah A Abu-Mulaweh,Neil Armstrong Hall of Engr 1098B,Laboratory,1:30 pm - 3:20 pm,Class,EPCS 41100,010,EPCS,Senior Design Participation In EPICS
9313,Honors|Upper Division,1.000,53280,Graduate|Professional|Undergraduate,W,Susan Renee Bayley,Neil Armstrong Hall of Engr 1098C,Laboratory,1:30 pm - 3:20 pm,Class,EPCS 41100,011,EPCS,Senior Design Participation In EPICS
9314,Honors|Upper Division,1.000,53281,Graduate|Professional|Undergraduate,W,Jeffery Lynn Gray|William Charles Oakes|Laura C Zanotti,Neil Armstrong Hall of Engr 1101,Laboratory,8:30 am - 10:20 am,Class,EPCS 41100,012,EPCS,Senior Design Participation In EPICS
9315,Honors|Upper Division,1.000,53290,Graduate|Professional|Undergraduate,T,Margaret M Drummond|Charese M Williams,Neil Armstrong Hall of Engr 1101,Laboratory,1:30 pm - 3:20 pm,Class,EPCS 41100,015,EPCS,Senior Design Participation In EPICS
9316,Honors|Upper Division,1.000,53289,Graduate|Professional|Undergraduate,W,Timothy Andrew Pritchett|Leah H Jamieson,Neil Armstrong Hall of Engr 1101,Laboratory,1:30 pm - 3:20 pm,Class,EPCS 41100,016,EPCS,Senior Design Participation In EPICS
9317,Honors|Upper Division,1.000,53274,Graduate|Professional|Undergraduate,W,Asem F Aboelzahab|Hyowon Lee,Neil Armstrong Hall of Engr 1101,Laboratory,3:30 pm - 5:20 pm,Class,EPCS 41100,018,EPCS,Senior Design Participation In EPICS
9318,Honors|Upper Division,1.000,53302,Graduate|Professional|Undergraduate,R,Michael Larry Mashtare|Laura C Bowling|Keith A Cherkauer,Neil Armstrong Hall of Engr 1098B,Laboratory,8:30 am - 10:20 am,Class,EPCS 41100,019,EPCS,Senior Design Participation In EPICS
9319,Honors|Upper Division,1.000,53272,Graduate|Professional|Undergraduate,R,Andrzej Wylezinski,Neil Armstrong Hall of Engr 1101,Laboratory,8:30 am - 10:20 am,Class,EPCS 41100,020,EPCS,Senior Design Participation In EPICS
9320,Honors|Upper Division,1.000,53299,Graduate|Professional|Undergraduate,W,Timothy Carl Strueh,Neil Armstrong Hall of Engr 1101,Laboratory,10:30 am - 12:20 pm,Class,EPCS 41100,021,EPCS,Senior Design Participation In EPICS
9321,Honors|Upper Division,1.000,53300,Graduate|Professional|Undergraduate,R,Eric Andrew Holloway,Neil Armstrong Hall of Engr 1098B,Laboratory,1:30 pm - 3:20 pm,Class,EPCS 41100,022,EPCS,Senior Design Participation In EPICS
9322,Honors|Upper Division,1.000,53293,Graduate|Professional|Undergraduate,R,Dulcy M Abraham|William Charles Oakes,Neil Armstrong Hall of Engr 1101,Laboratory,1:30 pm - 3:20 pm,Class,EPCS 41100,023,EPCS,Senior Design Participation In EPICS
9323,Honors|Upper Division,1.000,53297,Graduate|Professional|Undergraduate,R,Timothy Carl Strueh|Pamela R Brown,Neil Armstrong Hall of Engr 1098B,Laboratory,3:30 pm - 5:20 pm,Class,EPCS 41100,024,EPCS,Senior Design Participation In EPICS
9324,Honors|Upper Division,1.000,53273,Graduate|Professional|Undergraduate,R,Timothy Carl Strueh,Neil Armstrong Hall of Engr 1098C,Laboratory,10:30 am - 12:20 pm,Class,EPCS 41100,027,EPCS,Senior Design Participation In EPICS
9325,Honors|Upper Division,1.000,53288,Graduate|Professional|Undergraduate,F,Andrew Lee Pierce,Neil Armstrong Hall of Engr 1101,Laboratory,3:30 pm - 5:20 pm,Class,EPCS 41100,028,EPCS,Senior Design Participation In EPICS
9326,Honors|Upper Division,1.000,53292,Graduate|Professional|Undergraduate,R,Laura C Bowling|Keith A Cherkauer|Michael Larry Mashtare,Neil Armstrong Hall of Engr 1098C,Laboratory,8:30 am - 10:20 am,Class,EPCS 41100,029,EPCS,Senior Design Participation In EPICS
9327,Honors|Upper Division,1.000,53284,Graduate|Professional|Undergraduate,W,Nusaybah A Abu-Mulaweh,Neil Armstrong Hall of Engr 1098C,Laboratory,3:30 pm - 5:20 pm,Class,EPCS 41100,030,EPCS,Senior Design Participation In EPICS
9328,Honors|Upper Division,1.000,53278,Graduate|Professional|Undergraduate,F,Seyedali Ghahari|Jason Douglas Huycke|William Charles Oakes,Neil Armstrong Hall of Engr 1098B,Laboratory,1:30 pm - 3:20 pm,Class,EPCS 41100,031,EPCS,Senior Design Participation In EPICS
9329,Honors|Upper Division,1.000,62723,Graduate|Professional|Undergraduate,F,William Charles Oakes|Heather P Fabries,Neil Armstrong Hall of Engr 1101,Laboratory,8:30 am - 10:20 am,Class,EPCS 41100,035,EPCS,Senior Design Participation In EPICS
9330,Honors|Upper Division,1.000,65167,Graduate|Professional|Undergraduate,T,Timothy Carl Strueh,Neil Armstrong Hall of Engr 1098C,Laboratory,1:30 pm - 3:20 pm,Class,EPCS 41100,041,EPCS,Senior Design Participation In EPICS
9331,Honors|Upper Division,1.000,69083,Graduate|Professional|Undergraduate,W,Hyowon Lee|Andrew Lee Pierce,Neil Armstrong Hall of Engr 1098C,Laboratory,10:30 am - 12:20 pm,Class,EPCS 41100,043,EPCS,Senior Design Participation In EPICS
9332,Honors|Upper Division,1.000,69102,Graduate|Professional|Undergraduate,W,Susan Marie Khalifah|William Charles Oakes,Neil Armstrong Hall of Engr B098,Laboratory,6:00 pm - 7:50 pm,Class,EPCS 41100,045,EPCS,Senior Design Participation In EPICS
9333,Honors|Upper Division,1.000,69128,Graduate|Professional|Undergraduate,F,Nusaybah A Abu-Mulaweh|Robin D Terwilliger,Neil Armstrong Hall of Engr 1101,Laboratory,10:30 am - 12:20 pm,Class,EPCS 41100,047,EPCS,Senior Design Participation In EPICS
9334,Honors|Upper Division,1.000,13649,Graduate|Professional|Undergraduate,T,David Frederick Bahr|Jorge L Martinez|Kevin P Trumble,Neil Armstrong Hall of Engr 1101,Laboratory,10:30 am - 12:20 pm,Class,EPCS 41100,048,EPCS,Senior Design Participation In EPICS
9335,Honors|Upper Division,1.000,13675,Graduate|Professional|Undergraduate,W,Timothy Carl Strueh,Neil Armstrong Hall of Engr 1098C,Laboratory,8:30 am - 10:20 am,Class,EPCS 41100,049,EPCS,Senior Design Participation In EPICS
9336,Honors|Upper Division,1.000,13724,Graduate|Professional|Undergraduate,W,Edward John Delp,Neil Armstrong Hall of Engr 1098B,Laboratory,10:30 am - 12:20 pm,Class,EPCS 41100,051,EPCS,Senior Design Participation In EPICS
9337,Honors|Upper Division,1.000,14635,Graduate|Professional|Undergraduate,F,William Charles Oakes|Brandon Michael Fulk,Neil Armstrong Hall of Engr 1098C,Laboratory,3:30 pm - 5:20 pm,Class,EPCS 41100,053,EPCS,Senior Design Participation In EPICS
9338,Honors|Upper Division,1.000,14727,Graduate|Professional|Undergraduate,R,Nusaybah A Abu-Mulaweh,Neil Armstrong Hall of Engr 1098C,Laboratory,3:30 pm - 5:20 pm,Class,EPCS 41100,057,EPCS,Senior Design Participation In EPICS
9339,Honors|Upper Division,1.000,14841,Graduate|Professional|Undergraduate,F,Nusaybah A Abu-Mulaweh,Neil Armstrong Hall of Engr 1098C,Laboratory,8:30 am - 10:20 am,Class,EPCS 41100,061,EPCS,Senior Design Participation In EPICS
9340,Honors|Upper Division,1.000,14859,Graduate|Professional|Undergraduate,F,Bret Jarett Madsen,Neil Armstrong Hall of Engr 1098B,Laboratory,10:30 am - 12:20 pm,Class,EPCS 41100,062,EPCS,Senior Design Participation In EPICS
9341,Honors|Upper Division,1.000,14872,Graduate|Professional|Undergraduate,F,Nusaybah A Abu-Mulaweh|Leah H Jamieson,Neil Armstrong Hall of Engr 1101,Laboratory,1:30 pm - 3:20 pm,Class,EPCS 41100,063,EPCS,Senior Design Participation In EPICS
