,attributes,credits,crn,levels,meeting_days,meeting_instructors,meeting_place,meeting_sched_type,meeting_time,meeting_type,number,section,subject,title
54,Upper Division,0.000,14440,Graduate|Professional|Undergraduate,M,Waterloo Tsutsui,Neil Armstrong Hall of Engr 1109,Laboratory Preparation,9:30 am - 10:20 am,Class,AAE 35201,003,AAE,Structural Analysis I Laboratory
55,Upper Division,1.000,14445,Graduate|Professional|Undergraduate,W,Ankit Deo|Waterloo Tsutsui,Neil Armstrong Hall of Engr 3106,Laboratory,1:30 pm - 3:20 pm,Class,AAE 35201,004,AAE,Structural Analysis I Laboratory
56,Upper Division,3.000,10036,Graduate|Professional|Undergraduate,MWF,Inseok Hwang,Neil Armstrong Hall of Engr 1010,Lecture,12:30 pm - 1:20 pm,Class,AAE 36400,001,AAE,Control System Analysis
57,Upper Division,1.000,10037,Graduate|Professional|Undergraduate,R,Shiraz Khan|Michael James Rose,Neil Armstrong Hall of Engr 3106,Laboratory,9:30 am - 11:20 am,Class,AAE 36401,001,AAE,Control Systems Laboratory
58,Upper Division,1.000,10039,Graduate|Professional|Undergraduate,R,Lian Yuan|Michael James Rose,Neil Armstrong Hall of Engr 3106,Laboratory,1:30 pm - 3:20 pm,Class,AAE 36401,003,AAE,Control Systems Laboratory
59,Upper Division,1.000,10040,Graduate|Professional|Undergraduate,W,Zihao Liang|Michael James Rose,Neil Armstrong Hall of Engr 3106,Laboratory,1:30 pm - 3:20 pm,Class,AAE 36401,004,AAE,Control Systems Laboratory
60,Upper Division,1.000,10041,Graduate|Professional|Undergraduate,W,Zihao Liang|Michael James Rose,Neil Armstrong Hall of Engr 3106,Laboratory,7:30 am - 9:20 am,Class,AAE 36401,005,AAE,Control Systems Laboratory
61,Upper Division,1.000,10042,Graduate|Professional|Undergraduate,T,Michael James Rose,Neil Armstrong Hall of Engr 3106,Laboratory,11:30 am - 1:20 pm,Class,AAE 36401,006,AAE,Control Systems Laboratory
62,Upper Division,1.000,10043,Graduate|Professional|Undergraduate,R,Omanshu Thapliyal|Michael James Rose,Neil Armstrong Hall of Engr 3106,Laboratory,7:30 am - 9:20 am,Class,AAE 36401,007,AAE,Control Systems Laboratory
63,Upper Division,1.000,10044,Graduate|Professional|Undergraduate,W,Paige A Whittington|Michael James Rose,Neil Armstrong Hall of Engr 3106,Laboratory,9:30 am - 11:20 am,Class,AAE 36401,008,AAE,Control Systems Laboratory
64,Upper Division,1.000,10046,Graduate|Professional|Undergraduate,W,Michael James Rose,Neil Armstrong Hall of Engr 3106,Laboratory,3:30 pm - 5:20 pm,Class,AAE 36401,010,AAE,Control Systems Laboratory
65,Upper Division,0.000,10047,Graduate|Professional|Undergraduate,M,Arthur E Frazho|Michael James Rose,Electrical Engineering Bldg 170,Laboratory Preparation,4:30 pm - 5:20 pm,Class,AAE 36401,011,AAE,Control Systems Laboratory
66,Upper Division,1.000,64712,Graduate|Professional|Undergraduate,T,Shiraz Khan|Michael James Rose,Neil Armstrong Hall of Engr 3106,Laboratory,9:30 am - 11:20 am,Class,AAE 36401,012,AAE,Control Systems Laboratory
67,Upper Division,1.000,64732,Graduate|Professional|Undergraduate,R,Omanshu Thapliyal|Michael James Rose,Neil Armstrong Hall of Engr 3106,Laboratory,11:30 am - 1:20 pm,Class,AAE 36401,013,AAE,Control Systems Laboratory
68,Upper Division,1.000,19722,Graduate|Professional|Undergraduate,F,Zihao Liang|Michael James Rose,Neil Armstrong Hall of Engr 3106,Laboratory,7:30 am - 9:20 am,Class,AAE 36401,014,AAE,Control Systems Laboratory
69,Upper Division,1.000,19724,Graduate|Professional|Undergraduate,T,Kevin Shi|Michael James Rose,Neil Armstrong Hall of Engr 3106,Laboratory,3:30 pm - 5:20 pm,Class,AAE 36401,015,AAE,Control Systems Laboratory
70,Upper Division,1.000,13898,Graduate|Professional|Undergraduate,R,Kevin Shi|Michael James Rose,Neil Armstrong Hall of Engr 3106,Laboratory,3:30 pm - 5:20 pm,Class,AAE 36401,016,AAE,Control Systems Laboratory
71,Coop|Full-Time Privileges|Upper Division,0.000,52577,Graduate|Professional|Undergraduate,,Tyson Joelle McFall,,Experiential,,Class,AAE 38199,001,AAE,Professional Practice Co-Op I
72,Coop|Full-Time Privileges|Upper Division,0.000,52578,Graduate|Professional|Undergraduate,,Tyson Joelle McFall,,Experiential,,Class,AAE 38299,001,AAE,Professional Practice Co-Op II
73,Coop|Full-Time Privileges|Upper Division,0.000,52579,Graduate|Professional|Undergraduate,,Tyson Joelle McFall,,Experiential,,Class,AAE 38399,001,AAE,Professional Practice Co-Op III
74,Coop|Full-Time Privileges|Upper Division,0.000,52571,Graduate|Professional|Undergraduate,,Tyson Joelle McFall,,Experiential,,Class,AAE 39399,001,AAE,Professional Practice Extensive Co-Op III
75,Coop|Full-Time Privileges|Upper Division,0.000,53432,Graduate|Professional|Undergraduate,,Tyson Joelle McFall,,Experiential,,Class,AAE 39499,001,AAE,Professional Practice Extensive Co-Op IV
76,Coop|Full-Time Privileges|Upper Division,0.000,52576,Graduate|Professional|Undergraduate,,Tyson Joelle McFall,,Experiential,,Class,AAE 39599,001,AAE,Professional Practice Extensive Co-Op V
77,Full-Time Privileges|Internship|Upper Division,0.000,10431,Graduate|Professional|Undergraduate,,Tyson Joelle McFall,,Experiential,,Class,AAE 39699,001,AAE,Professional Practice Internship
78,Upper Division,1.000,59072,Graduate|Professional|Undergraduate,F,William A Crossley|Karen Marais,Wilmeth Active Learning Center 1018,Lecture,2:30 pm - 3:20 pm,Class,AAE 40000,001,AAE,Undergraduate Senior Seminar
79,Upper Division,3.000,10053,Graduate|Professional|Undergraduate,MWF,Gregory A Blaisdell,Wilmeth Active Learning Center 2087,Lecture,1:30 pm - 2:20 pm,Class,AAE 41200,001,AAE,Introduction To Computational Fluid Dynamics
80,Upper Division,3.000,18910,Graduate|Professional|Undergraduate,W,Steven H Collicott,Neil Armstrong Hall of Engr B071,Lecture,10:30 am - 11:20 am,Class,AAE 41800,001,AAE,Zero-Gravity Flight Experiment
81,Upper Division,0.000,14808,Graduate|Professional|Undergraduate,MWF,Steven H Collicott,Neil Armstrong Hall of Engr B071,Laboratory,9:30 am - 10:20 am,Class,AAE 41800,002,AAE,Zero-Gravity Flight Experiment
82,Upper Division,3.000,12540,Graduate|Professional|Undergraduate,TR,Martin Corless,Beering Hall of Lib Arts & Ed 2280,Lecture,4:30 pm - 5:45 pm,Class,AAE 42100,001,AAE,Flight Dynamics And Control
83,Upper Division,3.000,10058,Graduate|Professional|Undergraduate,TR,Carson Daniel Slabaugh,Mechanical Engineering Bldg 2061,Lecture,9:00 am - 10:15 am,Class,AAE 43900,001,AAE,Rocket Propulsion
84,Upper Division,0.000,63826,Graduate|Professional|Undergraduate,R,David Allen Spencer,Neil Armstrong Hall of Engr 3115,Laboratory,1:30 pm - 4:20 pm,Class,AAE 45000,001,AAE,Spacecraft Design
85,Upper Division,3.000,63827,Graduate|Professional|Undergraduate,MW,David Allen Spencer,Neil Armstrong Hall of Engr 3115,Lecture,2:30 pm - 3:20 pm,Class,AAE 45000,002,AAE,Spacecraft Design
86,Upper Division,3.000,17054,Graduate|Professional|Undergraduate,MW,Stephen D Heister,Neil Armstrong Hall of Engr 1103,Lecture,2:30 pm - 3:20 pm,Class,AAE 45000,003,AAE,Spacecraft Design
87,Upper Division,0.000,17056,Graduate|Professional|Undergraduate,T,Stephen D Heister,Neil Armstrong Hall of Engr 1103,Laboratory,10:30 am - 1:20 pm,Class,AAE 45000,004,AAE,Spacecraft Design
88,Upper Division,3.000,64139,Graduate|Professional|Undergraduate,TR,John P Sullivan,Knoy Hall of Technology B033,Lecture,3:30 pm - 4:20 pm,Class,AAE 45100,005,AAE,Aircraft Design
89,Upper Division,0.000,64140,Graduate|Professional|Undergraduate,R,John P Sullivan,Knoy Hall of Technology B033,Laboratory,10:30 am - 1:20 pm,Class,AAE 45100,006,AAE,Aircraft Design
90,Dept Credit|Upper Division|Variable Title,0.000,20900,Graduate|Professional|Undergraduate,F,John P Sullivan|Philip R Baldwin,Neil Armstrong Hall of Engr 3118,Laboratory,9:30 am - 12:20 pm,Class,AAE 49000,007,AAE,Boeing AerosPACE DBT
91,Dept Credit|Upper Division|Variable Title,3.000,20901,Graduate|Professional|Undergraduate,MW,John P Sullivan|Philip R Baldwin,Neil Armstrong Hall of Engr 3118,Lecture,11:00 am - 11:50 am,Class,AAE 49000,008,AAE,Boeing AerosPACE DBT
92,Dept Credit|Upper Division|Variable Title,3.000,21954,Graduate|Professional|Undergraduate,,Alina Alexeenko,,Individual Study,,Class,AAE 49000,009,AAE,FEMTA Suborbital Experiment
93,Dept Credit|Upper Division|Variable Title,3.000,22460,Graduate|Professional|Undergraduate,,Alexey Shashurin,,Individual Study,,Class,AAE 49000,010,AAE,TracSat Design Project
94,Dept Credit|Upper Division|Variable Title,3.000,23846,Graduate|Professional|Undergraduate,,Sally Pm Bane,,Individual Study,,Class,AAE 49000,011,AAE,Plasma Flow Control
95,Dept Credit|Upper Division|Variable Title,1.000,23926,Graduate|Professional|Undergraduate,T,Karen Marais,Hampton Hall of Civil Engnrng 1266,Lecture,4:30 pm - 5:20 pm,Class,AAE 49000,012,AAE,Hazards In Space Environments
96,Upper Division|Variable Title,3.000,23966,Graduate|Professional|Undergraduate,,James Michael Goppert,,Individual Study,,Class,AAE 49700,001,AAE,UAV Research And Application
97,Upper Division|Variable Title,2.000,23967,Graduate|Professional|Undergraduate,,James Michael Goppert,,Individual Study,,Class,AAE 49700,002,AAE,UAV Research And Application
98,Upper Division|Variable Title,3.000,24013,Graduate|Professional|Undergraduate,,Sergey O Macheret,,Individual Study,,Class,AAE 49700,003,AAE,Radio Frequency Plasma Devices
99,Upper Division|Variable Title,3.000,24101,Graduate|Professional|Undergraduate,,Karen Marais,,Individual Study,,Class,AAE 49700,004,AAE,Hazards In Space Environments
